,Comunalitati
BoliInfectioase,0.6160253385802463
Tuberculoza,0.9950000141175046
Tumori,0.8128223063829452
BoliEndocrine,0.996293542528662
Diabet,0.9962534800742036
TulbMentale,0.9950029978717091
SistNervORL,0.8024555706677136
ApCirculator,0.9950004992721215
BoalaIschemica,0.9487958870970915
BoliCerebroVasculare,0.9950000687278018
BRespiratorii,0.9950000529543364
BDigestive,0.970584906064637
BGenitoUrinar,0.4611070102502815
SarcinaNastere,0.9171315323927609
MalfCongenitale,0.8086294170736114
Accidente,0.9950031169248326
AlteCauze,0.9950004890498172
