,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
I1,0.4642526725009556,0.5785698278204775,0.5842371099619995,0.8184680577642143,0.8206992939129919,0.9105137079055821,0.9666779860173911,0.9666845152175684,0.9944505757012455,0.995127192664772,0.9997757348433941,0.9999999999999997
I2a,0.07296299129435027,0.48692882909726465,0.8449798730442877,0.8761181328928926,0.896634211235938,0.9064017499254259,0.9113061880341049,0.9460415187867439,0.9915725075220561,0.9979348689241042,0.9996360923029981,1.0000000000000004
I2b,0.09664071736779313,0.8003600472418985,0.8626604184722209,0.8682024600804557,0.8795482888587584,0.9100584148575078,0.9165146436055374,0.9223067306441766,0.9299044480463327,0.9895683269792032,0.9999850120596289,0.9999999999999993
R1a,0.1706876422255562,0.5762122307920942,0.5989251368881335,0.6797542461529469,0.9779539050223109,0.9858720142277966,0.9859025268175134,0.9937184684952242,0.9987104112715471,0.9990027689716082,0.9993822275569729,0.9999999999999998
R1b,0.003338928301120142,0.8072375281847269,0.8075134045798018,0.8611027574114388,0.8796986632604181,0.9835898754069617,0.9861736490454205,0.9903755787135442,0.9913893779352607,0.9978253487002847,0.9989210194083471,1.0000000000000007
G,0.5207669479030463,0.7084222498848277,0.7113212543884494,0.7154580930782515,0.7979234564613923,0.8041440131285059,0.9391490163986014,0.9693574039143388,0.988020991617481,0.9952492276150003,0.9999878621471446,0.999999999999999
J2,0.8598388434619281,0.8599632393105646,0.8636388310450165,0.9008696972379786,0.9017750879408328,0.9283033950463369,0.9298157711518721,0.9471588797602989,0.947159066011294,0.9615310511796415,0.9998019834326182,0.9999999999999994
J1,0.7165264774005402,0.71842283987191,0.7523062620416273,0.75968373625204,0.7758543698037937,0.7758891318752887,0.8661256887231441,0.9603879544397448,0.9982152592770229,0.9983280422705418,0.9999923650491569,1.0000000000000004
E1b1b,0.5945363337502529,0.6326142300343827,0.7714736125812611,0.7715922217287774,0.8450068770610534,0.9182666617983175,0.9261060356292102,0.9572633066245976,0.98020681250845,0.984912460060414,0.999845762395278,0.9999999999999998
T,0.5926989462189403,0.5933349978995057,0.74236918063506,0.8124887384934287,0.8344940309790543,0.8992388816537188,0.9016305426804143,0.9328854321493457,0.9533042305576298,0.998972904754599,0.9999993996810237,0.9999999999999992
Q,0.06692916857233211,0.09329455461229053,0.5479532873835478,0.8367935034141863,0.8767209403372195,0.9694646116499526,0.9751281308295257,0.9758575757113578,0.9990434177670147,0.9998675419241198,0.9999996177844395,0.9999999999999992
N,0.19413720844776677,0.3664332948742839,0.7187584111216176,0.8313021825732094,0.9122399185154777,0.9126373329920251,0.9685657671908893,0.9914617690486889,0.9963510626277096,0.9988945112728903,0.9995358092662313,1.0000000000000009
